date,close,open,high,low,volume
1927-12-30T00:00:00-05:00,17.66,17.66,17.66,17.66,0.0
1928-01-03T00:00:00-05:00,17.76,17.76,17.76,17.76,0.0
1928-01-04T00:00:00-05:00,17.72,17.72,17.72,17.72,0.0
1928-01-05T00:00:00-05:00,17.55,17.55,17.55,17.55,0.0
1928-01-06T00:00:00-05:00,17.66,17.66,17.66,17.66,0.0
1928-01-09T00:00:00-05:00,17.5,17.5,17.5,17.5,0.0
1928-01-10T00:00:00-05:00,17.37,17.37,17.37,17.37,0.0
1928-01-11T00:00:00-05:00,17.35,17.35,17.35,17.35,0.0
1928-01-12T00:00:00-05:00,17.47,17.47,17.47,17.47,0.0
1928-01-13T00:00:00-05:00,17.58,17.58,17.58,17.58,0.0
1928-01-16T00:00:00-05:00,17.29,17.29,17.29,17.29,0.0
1928-01-17T00:00:00-05:00,17.3,17.3,17.3,17.3,0.0
1928-01-18T00:00:00-05:00,17.26,17.26,17.26,17.26,0.0
1928-01-19T00:00:00-05:00,17.38,17.38,17.38,17.38,0.0
1928-01-20T00:00:00-05:00,17.48,17.48,17.48,17.48,0.0
1928-01-23T00:00:00-05:00,17.64,17.64,17.64,17.64,0.0
1928-01-24T00:00:00-05:00,17.71,17.71,17.71,17.71,0.0
1928-01-25T00:00:00-05:00,17.52,17.52,17.52,17.52,0.0
1928-01-26T00:00:00-05:00,17.63,17.63,17.63,17.63,0.0
1928-01-27T00:00:00-05:00,17.69,17.69,17.69,17.69,0.0
1928-01-30T00:00:00-05:00,17.49,17.49,17.49,17.49,0.0
1928-01-31T00:00:00-05:00,17.57,17.57,17.57,17.57,0.0
1928-02-01T00:00:00-05:00,17.53,17.53,17.53,17.53,0.0
1928-02-02T00:00:00-05:00,17.63,17.63,17.63,17.63,0.0
1928-02-03T00:00:00-05:00,17.4,17.4,17.4,17.4,0.0
1928-02-06T00:00:00-05:00,17.45,17.45,17.45,17.45,0.0
1928-02-07T00:00:00-05:00,17.44,17.44,17.44,17.44,0.0
1928-02-08T00:00:00-05:00,17.49,17.49,17.49,17.49,0.0
1928-02-09T00:00:00-05:00,17.55,17.55,17.55,17.55,0.0
1928-02-10T00:00:00-05:00,17.54,17.54,17.54,17.54,0.0
1928-02-14T00:00:00-05:00,17.44,17.44,17.44,17.44,0.0
1928-02-15T00:00:00-05:00,17.4,17.4,17.4,17.4,0.0
1928-02-16T00:00:00-05:00,17.35,17.35,17.35,17.35,0.0
1928-02-17T00:00:00-05:00,17.04,17.04,17.04,17.04,0.0
1928-02-20T00:00:00-05:00,16.95,16.95,16.95,16.95,0.0
1928-02-21T00:00:00-05:00,17.11,17.11,17.11,17.11,0.0
1928-02-23T00:00:00-05:00,17.13,17.13,17.13,17.13,0.0
1928-02-24T00:00:00-05:00,17.18,17.18,17.18,17.18,0.0
1928-02-27T00:00:00-05:00,17.11,17.11,17.11,17.11,0.0
1928-02-28T00:00:00-05:00,17.16,17.16,17.16,17.16,0.0
1928-02-29T00:00:00-05:00,17.26,17.26,17.26,17.26,0.0
1928-03-01T00:00:00-05:00,17.3,17.3,17.3,17.3,0.0
1928-03-02T00:00:00-05:00,17.3,17.3,17.3,17.3,0.0
1928-03-05T00:00:00-05:00,17.57,17.57,17.57,17.57,0.0
1928-03-06T00:00:00-05:00,17.67,17.67,17.67,17.67,0.0
1928-03-07T00:00:00-05:00,17.58,17.58,17.58,17.58,0.0
1928-03-08T00:00:00-05:00,17.64,17.64,17.64,17.64,0.0
1928-03-09T00:00:00-05:00,17.93,17.93,17.93,17.93,0.0
1928-03-12T00:00:00-05:00,18.0,18.0,18.0,18.0,0.0
1928-03-13T00:00:00-05:00,17.92,17.92,17.92,17.92,0.0
1928-03-14T00:00:00-05:00,17.93,17.93,17.93,17.93,0.0
